Domain,Passage,Q1,A1,Q1_Type,Q1_Difficulty,Q2,A2,Q2_Type,Q2_Difficulty,Q3,A3,Q3_Type,Q3_Difficult,Q4,A4,Q4_Type,Q4_Difficulty
KYC Compliance,निष्क्रिय खाता वह है जिसमें दो वर्ष से अधिक ग्राहक प्रेरित लेनदेन नहीं हुआ। इसे शाखा या वीसीआईपी के माध्यम से सक्रिय किया जा सकता है।,निष्क्रिय खाता क्या है?,दो वर्ष से अधिक निष्क्रिय खाता,Factual,Easy,कैसे सक्रिय करें?,केवाईसी अपडेट द्वारा,Factual,Easy,क्या वीसीआईपी से संभव है?,हाँ,Factual,Medium,ग्राहक प्रेरित लेनदेन क्या है?,ग्राहक द्वारा आरंभ लेनदेन,Inferential,Hard
KYC Compliance,निष्क्रिय खातों को सक्रिय करने की सुविधा सभी शाखाओं में और अनुरोध पर वीसीआईपी द्वारा भी उपलब्ध करानी होगी।,क्या किसी भी शाखा में पुनः सक्रिय कर सकते हैं?,हाँ,Factual,Easy,क्या वीसीआईपी से भी संभव है?,हाँ,Factual,Medium,बैंक की क्या जिम्मेदारी है?,सभी शाखाओं में सुविधा देना,Factual,Medium,क्यों आवश्यक है?,ग्राहक सुविधा और समावेशन हेतु,Inferential,Medium
Deposit Regulations,बैंक केवल चालू खातों में ब्याज मुक्त जमा राशियां स्वीकार कर सकते हैं (पैरा 29.5)।,क्या बैंक ब्याज मुक्त जमा स्वीकार कर सकते हैं?,हाँ केवल चालू खाते में,Factual,Easy,कौन सा खंड लागू है?,पैरा 29.5,Factual,Medium,क्या बचत खाते पर लागू है?,नहीं,Factual,Easy,क्यों ब्याज मुक्त जमा सीमित है?,विनियामक संतुलन हेतु,Inferential,Medium
Deposit Regulations,पुनर्निवेश जमा वह होती है जिसमें ब्याज पारीपक्वता तक उसी दर पर पुनर्निवेशित किया जाता है (पैरा 4.22)।,पुनर्निवेश जमा क्या है?,जहां ब्याज पुनर्निवेशित होता है,Factual,Easy,किस दर पर पुनर्निवेश होता है?,उसी अनुबंधित दर पर,Factual,Medium,कब आहरित की जा सकती है?,पारिपक्वता पर,Factual,Easy,क्यों पुनर्निवेशी योजना उपयोगी है?,ब्याज पर संयोजित लाभ हेतु,Inferential,Medium
Deposit Regulations,बैंक मृत कर्मचारियों के नाबालिग बच्चों को अतिरिक्त ब्याज नहीं दे सकते (पैरा 9.1.6)।,क्या बैंक नाबालिग को स्टाफ ब्याज दे सकते हैं?,नहीं,Factual,Easy,कौन पात्र नहीं है?,नाबालिग बच्चे,Factual,Medium,कौन पात्र हैं?,केवल बैंक कर्मचारी,Factual,Easy,क्यों छूट नहीं है?,नैतिक व नीति कारणों से,Inferential,Medium
Deposit Regulations,नाबालिग बच्चों के मुआवजे पर अतिरिक्त ब्याज नहीं दिया जा सकता (पैरा 9.1.6)।,क्या मुआवजा खाते पर स्टाफ ब्याज दे सकते हैं?,नहीं,Factual,Easy,क्यों नहीं?,क्योंकि जमा नाबालिग से संबंधित है,Factual,Medium,कौन सा पैरा लागू है?,9.1.6,Factual,Medium,क्या न्यायालय अनुमति दे सकता है?,नहीं इन नियमों के तहत,Conditional,Hard
Deposit Regulations,स्टाफ या सेवानिवृत्त स्टाफ को अतिरिक्त ब्याज तभी मिलेगा जब वे प्रमुख खाताधारक हों (पैरा 9.1.6)।,स्टाफ को अतिरिक्त ब्याज कब मिलेगा?,जब वह प्रमुख खाताधारक हो,Factual,Easy,क्या सह-नामित पर भी लागू है?,नहीं,Factual,Medium,क्या परिवार खाते पर मिलेगा?,हाँ यदि स्टाफ प्रमुख है,Conditional,Medium,क्यों यह शर्त रखी गई है?,दुरुपयोग रोकने हेतु,Inferential,Medium
Deposit Regulations,आंशिक पूर्व-आहरण के मामलों में दंड बैंक नीति अनुसार लगाया जा सकता है (पैरा 15)।,क्या आंशिक पूर्व-आहरण पर दंड है?,हाँ,Factual,Medium,कौन तय करता है?,बैंक की बोर्ड-स्वीकृत नीति,Factual,Medium,क्या ग्राहक को बताया जाएगा?,हाँ जमा के समय,Factual,Medium,क्यों दंड लगाया जाता है?,तरलता प्रबंधन हेतु,Inferential,Medium
Deposit Regulations,सरकारी विभागों/योजनाओं के नाम पर बचत खाता केवल अनुसूची-I में उल्लिखित मामलों में खोला जा सकता है (पैरा 29.8)।,क्या सरकार के नाम पर बचत खाता खुल सकता है?,हाँ पर सीमित मामलों में,Factual,Medium,कौन सी अनुसूची लागू है?,अनुसूची-I,Factual,Medium,क्या निजी योजनाओं के लिए संभव है?,नहीं,Factual,Medium,क्यों सीमा है?,निधि दुरुपयोग रोकने हेतु,Inferential,Medium
Deposit Regulations,सरकारी वित्तपोषित योजनाओं के लिए निजी संस्था के नाम पर खाता नहीं खोला जा सकता (अनुसूची-I पैरा 29.8)।,क्या निजी संस्था सरकारी खाता खोल सकती है?,नहीं,Factual,Easy,क्यों नहीं?,अनुसूची-I के तहत प्रतिबंध है,Factual,Medium,क्या सरकार कर सकती है?,हाँ,Factual,Medium,कौन सा नियम लागू है?,पैरा 29.8,Reference,Medium
Deposit Regulations,पंजीकृत सोसाइटी अधिनियम 1860 के तहत पंजीकृत संस्थाएं बचत खाता खोल सकती हैं (अनुसूची-I)।,क्या पंजीकृत सोसाइटी खाता खोल सकती है?,हाँ यदि SRA 1860 के तहत पंजीकृत हो,Factual,Easy,किसके उद्देश्य मान्य हैं?,सांस्कृतिक वैज्ञानिक धार्मिक,Factual,Medium,क्या अन्य सोसाइटी पर लागू है?,नहीं,Factual,Medium,क्यों छूट दी गई?,जनहित कार्य हेतु,Inferential,Medium
Deposit Regulations,अदायगी न होने पर मियादी जमा पर वही ब्याज लागू होगा जो बचत दर या अनुबंध दर में कम हो।,अदायगी न होने पर कौन सी दर लागू होगी?,कम दर,Factual,Easy,कौन सी दो दरें?,बचत दर और अनुबंध दर,Factual,Medium,क्यों कम दर ली जाती है?,अनुशासन बनाए रखने हेतु,Inferential,Medium,क्या यह स्वतः लागू होता है?,हाँ,Factual,Easy
Deposit Regulations,मृत जमाकर्ता की पकी जमा पर ब्याज बैंक नीति के अनुसार दिया जाएगा।,मृत जमाकर्ता पर ब्याज दर कैसे तय होती है?,बैंक नीति से,Factual,Medium,क्या समान खाते पर भी लागू है?,हाँ,Factual,Medium,क्या RBI तय करता है?,नहीं केवल दिशा देता है,Factual,Medium,क्यों नीति आधारित है?,विवेकाधिकार हेतु,Inferential,Medium
Deposit Regulations,"बैंक समय-पूर्व आहरण के लिए दंड लगा सकते हैं (पैरा 15,18,27)।",क्या समयपूर्व आहरण पर दंड लगता है?,हाँ,Factual,Easy,कौन निर्णय लेता है?,बोर्ड द्वारा अनुमोदित नीति,Factual,Medium,क्या ग्राहक को बताया जाता है?,हाँ,Factual,Medium,क्यों आवश्यक है?,तरलता नियंत्रण हेतु,Inferential,Medium
Deposit Regulations,एफसीएनआर(बी) योजना के तहत आवर्ती जमा स्वीकार नहीं की जा सकती।,क्या FCNR(B) में आवर्ती जमा स्वीकार है?,नहीं,Factual,Easy,क्यों नहीं?,योजना अनुमति नहीं देती,Factual,Medium,कौन सा खंड लागू है?,20.2.1,Factual,Medium,क्या वैकल्पिक जमा संभव है?,हाँ अन्य विदेशी जमा,Conditional,Medium
Deposit Regulations,एफसीएनआर(बी) जमा नवीनीकरण पर ब्याज दर अवधि व नीति अनुसार तय होगी।,एफसीएनआर जमा नवीनीकरण पर क्या दर लागू होगी?,उपयुक्त अवधि की दर,Factual,Medium,कब कम दर लागू होती है?,जब पारीपक्वता व मांग तिथि भिन्न हों,Factual,Medium,क्या नई अवधि मानी जाएगी?,हाँ,Factual,Medium,क्या जल्दी निकालने पर ब्याज काटा जाएगा?,हाँ,Factual,Medium
Pension Disbursement,पेंशनर की मृत्यु के बाद परिवार पेंशन उसी खाते में जमा की जा सकती है यदि PPO में अधिकार उपलब्ध हो।,क्या परिवार पेंशन के लिए नया खाता चाहिए?,नहीं,Factual,Easy,कौन शर्त लागू है?,PPO में परिवार पेंशन अधिकार,Factual,Medium,कौन अनुमति देता है?,एजेंसी बैंक,Factual,Medium,क्यों खाता वही रहना चाहिए?,सुविधा और पारदर्शिता हेतु,Inferential,Medium
Pension Disbursement,पेंशन भुगतानकर्ता शाखा पेंशन प्राधिकरण के निर्देश पर पेंशनर के खाते में राशि जमा करती है।,पेंशन कब जमा होती है?,निर्देश प्राप्त होने पर,Factual,Easy,कौन निर्देश देता है?,पेंशन भुगतान प्राधिकरण,Factual,Easy,क्या यह स्वचालित है?,नहीं,Factual,Medium,क्यों समय पर जमा जरूरी है?,जीविका निर्भरता हेतु,Inferential,Medium
Pension Disbursement,अधिक भुगतान की राशि का पता चलने पर तुरंत सरकार को लौटाना होगा।,क्या बैंक अतिरिक्त भुगतान रख सकता है?,नहीं,Factual,Easy,किसे लौटाना होता है?,सरकार को,Factual,Easy,कब लौटाना होता है?,तुरंत पता चलने पर,Factual,Easy,क्यों?,पारदर्शिता और उत्तरदायित्व हेतु,Inferential,Medium
Pension Disbursement,पेंशनर द्वारा जीवन प्रमाणपत्र जमा करने पर बैंक को पावती देना और CBS में दर्ज करना अनिवार्य है।,क्या जीवन प्रमाणपत्र पर पावती देनी होती है?,हाँ,Factual,Easy,कहाँ दर्ज करना है?,CBS में,Factual,Medium,क्या डिजिटल पावती मान्य है?,हाँ,Factual,Medium,क्यों जरूरी है?,देरी रोकने हेतु,Inferential,Medium
Pension Disbursement,जीवन प्रमाण शाखा में जाए बिना डिजिटल रूप से प्रस्तुत किया जा सकता है।,क्या शाखा में गए बिना प्रमाण दे सकते हैं?,हाँ,Factual,Easy,कौन इसका उपयोग कर सकता है?,70+ या दिव्यांग पेंशनर,Factual,Medium,कहाँ प्रस्तुत किया जा सकता है?,घर या परिसर में,Factual,Medium,क्यों सुविधा दी गई?,सामाजिक समावेशन हेतु,Inferential,Medium
Pension Disbursement,बीमार या अशक्त पेंशनर साक्षियों के माध्यम से अंगूठा निशान द्वारा पेंशन आहरित कर सकता है।,बीमार पेंशनर कैसे पेंशन निकाल सकता है?,साक्षियों द्वारा अंगूठा निशान,Factual,Medium,कितने साक्षी आवश्यक हैं?,दो जिनमें एक बैंक अधिकारी,Factual,Medium,कहाँ नियम प्रदर्शित करने हैं?,शाखा नोटिस बोर्ड पर,Factual,Medium,क्यों जरूरी है?,सुगम पेंशन सेवा हेतु,Inferential,Medium
Pension Disbursement,महंगाई राहत का संशोधन सरकारी आदेशों के अनुसार तुरंत किया जाता है।,महंगाई राहत कब संशोधित होती है?,सरकारी आदेश पर,Factual,Easy,कौन संशोधन करता है?,एजेंसी बैंक,Factual,Medium,किस सूचना पर?,सरकारी वेबसाइट या आदेश,Factual,Medium,क्यों जरूरी है?,पेंशन राशि समानता हेतु,Inferential,Medium
Pension Disbursement,देरी से पेंशन जमा होने पर बैंक को 8% वार्षिक क्षतिपूर्ति देनी होगी।,देरी पर क्या क्षतिपूर्ति मिलती है?,8% ब्याज,Factual,Easy,कब लागू है?,1 अक्टूबर 2008 से,Factual,Medium,किसे मिलती है?,पेंशनर को स्वतः,Factual,Medium,क्यों दी जाती है?,बैंक जवाबदेही हेतु,Inferential,Medium
Foreign Collaboration,"एफसीएस सर्वेक्षण भारतीय उद्योगों में विदेशी तकनीकी सहयोग पर द्विवार्षिक सर्वेक्षण है, जो एफडीआई और तकनीकी साझेदारी से संबंधित डेटा एकत्र करता है।",एफसीएस सर्वेक्षण क्या है?,भारतीय उद्योगों में विदेशी तकनीकी सहयोग पर द्विवार्षिक सर्वेक्षण,Factual,Easy,यह कब शुरू हुआ?,2012 से एफएलए संगणना के पूरक रूप में,Factual,Medium,किसका उद्देश्य है?,तकनीकी सहयोग और निवेश डेटा एकत्र करना,Inferential,Medium,कौन आयोजित करता है?,भारतीय रिज़र्व बैंक,Factual,Easy
Foreign Collaboration,सर्वेक्षण वर्ष में जनवरी में शुरू होता है और 15 जुलाई तक रिपोर्ट जमा की जा सकती है।,एफसीएस सर्वेक्षण कब शुरू होता है?,हर वर्ष जनवरी में,Factual,Easy,अवधि क्या होती है?,द्विवार्षिक,Factual,Medium,अंतिम तिथि क्या है?,15 जुलाई,Factual,Medium,संदर्भ अवधि कितनी होती है?,दो वित्तीय वर्ष,Numeric,Medium
Foreign Collaboration,एफसीएस में वही कंपनियां भाग लेती हैं जिनके पास विदेशी तकनीकी सहयोग और एफडीआई दोनों हैं।,कौन सी कंपनियां भाग ले सकती हैं?,जिनके पास एफडीआई और विदेशी तकनीकी सहयोग है,Factual,Medium,क्या केवल एफडीआई वाली कंपनियां भाग लेंगी?,नहीं,Factual,Medium,अगर एफटीसी नहीं है तो?,केवल भाग I और II भरना होगा,Conditional,Medium,क्यों?,डेटा निरंतरता हेतु,Inferential,Medium
Foreign Collaboration,एफसीएस फॉर्म केवल .xls प्रारूप में जमा किया जा सकता है; किसी अन्य प्रारूप को सिस्टम अस्वीकार कर देगा।,फॉर्म किस प्रारूप में जमा करना है?,Excel .xls में,Factual,Easy,क्या मैक्रो शामिल करना है?,नहीं,Factual,Easy,अन्य प्रारूप मान्य हैं?,नहीं,Factual,Medium,क्यों यह आवश्यक है?,डेटा संगति और सुरक्षा हेतु,Inferential,Medium
Foreign Collaboration,"एफसीएस में विदेशी सहायक, विदेशी सहयोगी, और शुद्ध तकनीकी सहयोग की परिभाषाएं दी गई हैं।",विदेशी सहायक क्या है?,50% से अधिक विदेशी स्वामित्व वाली भारतीय कंपनी,Factual,Medium,विदेशी सहयोगी क्या है?,10% से 50% विदेशी स्वामित्व,Factual,Medium,शुद्ध तकनीकी सहयोग क्या है?,केवल तकनीकी समझौता बिना एफडीआई,Factual,Medium,क्यों वर्गीकरण किया गया?,डेटा तुलना के लिए,Inferential,Medium
Portfolio Investment,सीपीआईएस आईएमएफ के तहत आयोजित अंतरराष्ट्रीय निवेश स्थिति पर अर्धवार्षिक सर्वेक्षण है जो पोर्टफोलियो निवेश डेटा एकत्र करता है।,सीपीआईएस क्या है?,अंतरराष्ट्रीय पोर्टफोलियो निवेश सर्वेक्षण,Factual,Easy,कौन आयोजित करता है?,आरबीआई आईएमएफ के अंतर्गत,Factual,Easy,कब शुरू हुआ?,2004 में,Factual,Medium,क्यों आवश्यक है?,अंतरराष्ट्रीय वित्तीय पारदर्शिता हेतु,Inferential,Medium
Portfolio Investment,सीपीआईएस मार्च और सितंबर अंत की स्थिति पर किया जाता है और डेटा 15 जुलाई और 31 दिसंबर तक जमा किया जाता है।,सीपीआईएस कितनी बार होता है?,छमाही,Factual,Medium,अवधि क्या है?,मार्च और सितंबर अंत,Factual,Medium,अंतिम तिथियां क्या हैं?,15 जुलाई और 31 दिसंबर,Numeric,Easy,क्या यह वैकल्पिक है?,नहीं,Factual,Medium
Portfolio Investment,"सीपीआईएस में निवेश संपत्तियां मार्क-टू-मार्केट मूल्य पर रिपोर्ट की जाती हैं जैसे इक्विटी, अल्पकालिक और दीर्घकालिक ऋण।",किस मूल्य पर रिपोर्ट की जाती है?,मार्क-टू-मार्केट,Factual,Medium,कौन सी परिसंपत्तियां शामिल हैं?,इक्विटी और ऋण प्रपत्र,Factual,Medium,क्या सभी शाखाएं रिपोर्ट करेंगी?,हाँ समेकित रूप से,Factual,Medium,क्यों मार्केट मूल्य?,वास्तविक स्थिति दर्शाने हेतु,Inferential,Medium
Portfolio Investment,"इक्विटी प्रतिभूतियों में साधारण शेयर, म्यूचुअल फंड इकाइयाँ, डिपॉजिटरी रसीदें शामिल हैं। गैर-भागीदार शेयर शामिल नहीं हैं।",इक्विटी में क्या शामिल है?,साधारण और म्यूचुअल फंड शेयर,Factual,Medium,क्या गैर-भागीदार शेयर शामिल हैं?,नहीं,Factual,Medium,डिपॉजिटरी रसीदें क्या हैं?,विदेशी इक्विटी स्वामित्व प्रमाण,Factual,Medium,क्यों भेद किया गया?,वर्गीकरण के लिए,Inferential,Medium
Portfolio Investment,सीपीआईएस आईएमएफ के तहत आयोजित अंतरराष्ट्रीय निवेश स्थिति पर अर्धवार्षिक सर्वेक्षण है जो पोर्टफोलियो निवेश डेटा एकत्र करता है।,सीपीआईएस क्या है?,अंतरराष्ट्रीय पोर्टफोलियो निवेश सर्वेक्षण,Factual,Easy,कौन आयोजित करता है?,आरबीआई आईएमएफ के अंतर्गत,Factual,Easy,कब शुरू हुआ?,2004 में,Factual,Medium,क्यों आवश्यक है?,अंतरराष्ट्रीय वित्तीय पारदर्शिता हेतु,Inferential,Medium
Portfolio Investment,सीपीआईएस मार्च और सितंबर अंत की स्थिति पर किया जाता है और डेटा 15 जुलाई और 31 दिसंबर तक जमा किया जाता है।,सीपीआईएस कितनी बार होता है?,छमाही,Factual,Medium,अवधि क्या है?,मार्च और सितंबर अंत,Factual,Medium,अंतिम तिथियां क्या हैं?,15 जुलाई और 31 दिसंबर,Numeric,Easy,क्या यह वैकल्पिक है?,नहीं,Factual,Medium
Portfolio Investment,"सीपीआईएस में निवेश संपत्तियां मार्क-टू-मार्केट मूल्य पर रिपोर्ट की जाती हैं जैसे इक्विटी, अल्पकालिक और दीर्घकालिक ऋण।",किस मूल्य पर रिपोर्ट की जाती है?,मार्क-टू-मार्केट,Factual,Medium,कौन सी परिसंपत्तियां शामिल हैं?,इक्विटी और ऋण प्रपत्र,Factual,Medium,क्या सभी शाखाएं रिपोर्ट करेंगी?,हाँ समेकित रूप से,Factual,Medium,क्यों मार्केट मूल्य?,वास्तविक स्थिति दर्शाने हेतु,Inferential,Medium
Portfolio Investment,"इक्विटी प्रतिभूतियों में साधारण शेयर, म्यूचुअल फंड इकाइयाँ, डिपॉजिटरी रसीदें शामिल हैं। गैर-भागीदार शेयर शामिल नहीं हैं।",इक्विटी में क्या शामिल है?,साधारण और म्यूचुअल फंड शेयर,Factual,Medium,क्या गैर-भागीदार शेयर शामिल हैं?,नहीं,Factual,Medium,डिपॉजिटरी रसीदें क्या हैं?,विदेशी इक्विटी स्वामित्व प्रमाण,Factual,Medium,क्यों भेद किया गया?,वर्गीकरण के लिए,Inferential,Medium
Banking/Financial Regulations,"साधारणतः प्रत्येक वर्ष की प्रत्येक तिमाही में बोर्ड की एक बैठक होगी। बोर्ड की बैठकें अध्यक्ष द्वारा संयोजित की जाएंगी और उसकी अनुपस्थिति में उनका संयोजन, प्रबंध निदेशक द्वारा किया जाएगा।",बोर्ड की बैठकें कितनी बार होती हैं?,साधारणतः प्रत्येक वर्ष की प्रत्येक तिमाही में बोर्ड की एक बैठक होगी।,Factual,Easy,बोर्ड की बैठकों का सामान्य स्थान कहाँ है?,सामान्यतः मुंबई में,Factual,Easy,बोर्ड की बैठक में कौन-कौन से अधिकारी भाग ले सकते हैं?,"अध्यक्ष, प्रबंध निदेशक और अन्य निदेशक",Factual,Medium,कितने निदेशक मांग करके विशेष बैठक बुला सकते हैं?,कोई भी पांच निदेशक,Factual,Medium
Banking/Financial Regulations,"बोर्ड की बैठकें अध्यक्ष द्वारा संयोजित की जाएंगी और उसकी अनुपस्थिति में उनका संयोजन, प्रबंध निदेशक द्वारा किया जाएगा। इन बैठकों का आयोजन सामान्यतः मुंबई में किया जाएगा किन्तु बोर्ड के निर्देश पर भारत में किसी भी अन्य स्थान पर इसका आयोजन किया जा सकेगा।",बोर्ड की बैठकों का संयोजन कौन करता है?,"बोर्ड की बैठकें अध्यक्ष द्वारा संयोजित की जाएंगी और उसकी अनुपस्थिति में उनका संयोजन, प्रबंध निदेशक द्वारा किया जाएगा।",Factual,Easy,बोर्ड की बैठक किसके निर्देश पर अन्य स्थानों पर आयोजित की जा सकती है?,बोर्ड के निर्देश पर,Factual,Easy,बैठक के स्थान में परिवर्तन के लिए किसकी स्वीकृति आवश्यक है?,बोर्ड,Factual,Easy,प्रबंध निदेशक बैठक कब बुलाएंगे?,अध्यक्ष की अनुपस्थिति में,Factual,Easy
Banking/Financial Regulations,बोर्ड की बैठक में विचार-विमर्श तभी किया जा सकेगा जब कम से कम छह निदेशक उपस्थित हों।,बोर्ड की बैठक के लिए कोरम क्या है?,बोर्ड की बैठक में विचार-विमर्श तभी किया जा सकेगा जब कम से कम छह निदेशक उपस्थित हों।,Factual,Easy,यदि छह से कम निदेशक उपस्थित हों तो क्या होगा?,बैठक में विचार-विमर्श नहीं किया जा सकेगा।,Factual,Medium,कोरम पूरा होने के लिए न्यूनतम कितने सदस्य चाहिए?,छह निदेशक,Factual,Easy,बैठक के अध्यक्ष और उपस्थित निदेशकों के बहुमत की सहमति किस स्थिति में आवश्यक है?,जब बैठक आयोजन के प्रयोजन के अलावा किसी अन्य विषय/कारोबार पर विचार करना हो और एक सप्ताह का स्पष्ट नोटिस न दिया गया हो।,Analytical,Hard
Banking/Financial Regulations,केवल बोर्ड की पहली बैठक संबंधी सूचना के अलावा बोर्ड की प्रत्येक बैठक के आयोजन से पहले कम से कम पंद्रह दिन की स्पष्ट सूचना दी जाएगी और प्रत्येक निदेशक को उनके रजिस्टर्ड पते पर सूचना भेजी जाएगी।,बोर्ड की बैठक के लिए सूचना कितने दिन पहले देनी होगी?,बोर्ड की प्रत्येक बैठक के आयोजन से पहले कम से कम पंद्रह दिन की स्पष्ट सूचना दी जाएगी।,Factual,Easy,प्रत्येक निदेशक को बैठक की सूचना कहाँ भेजी जाएगी?,उनके रजिस्टर्ड पते पर,Factual,Easy,बोर्ड की पहली बैठक के लिए सूचना अवधि में क्या अंतर है?,पहली बैठक के लिए सूचना अवधि का विशेष उल्लेख नहीं है।,Analytical,Medium,बैठक के कार्यवृत्त पर किसके हस्ताक्षर होने चाहिए?,अध्यक्ष के हस्ताक्षर,Factual,Easy
Banking/Financial Regulations,"आपात बैठक का आयोजन आवश्यक होने पर प्रत्येक निदेशक को, जो उस समय भारत में उपस्थित हो, कम से कम सात दिन पहले इसकी सूचना दी जाएगी तादकि वह बैठक में उपस्थित हो सके।",आपात बैठक के लिए सूचना कितने दिन पहले देनी होगी?,आपात बैठक के लिए कम से कम सात दिन पहले सूचना दी जाएगी।,Factual,Easy,आपात बैठक के लिए किन निदेशकों को सूचना दी जाएगी?,जो उस समय भारत में उपस्थित हों,Factual,Medium,अगर निदेशक भारत में नहीं है तो क्या उसे आपात बैठक की सूचना दी जाएगी?,"नहीं, केवल भारत में उपस्थित निदेशकों को सूचना दी जाएगी।",Analytical,Medium,विशेष बैठक के मांग पत्र में क्या निर्दिष्ट होना चाहिए?,विशिष्ट रूप से निर्दिष्ट कारोबार,Factual,Medium
Banking/Financial Regulations,"अध्यक्ष और अन्य कोई निदेशक जो केंद्र सरकार या राज्य सरकार या भारतीय रिज़र्व बैंक या अन्य किसी या किसी केंद्रीय अधिनियम या राज्य अधिनियम या सरकार के स्वामित्व या नियंत्रण के तहत स्थापित किसी निकाय या निगम का अधिकारी नहीं है, को राष्ट्रीय बैंक द्वारा निम्नानुसार शुल्क और भत्तों का भुगतान किया जाएगा।",निदेशकों को शुल्क का भुगतान किन परिस्थितियों में किया जाता है?,"जो निदेशक केंद्र सरकार, राज्य सरकार, भारतीय रिज़र्व बैंक या सरकारी निकाय का अधिकारी नहीं है, उन्हें शुल्क का भुगतान किया जाएगा।",Factual,Medium,निदेशकों को यात्रा और विराम व्यय की प्रतिपूर्ति किस आधार पर की जाती है?,केंद्रीय सरकार द्वारा रिज़र्व बैंक से परामर्श करने के बाद समय-समय पर निर्धारित दरों पर,Factual,Medium,कौन से निदेशक शुल्क के पात्र नहीं हैं?,"केंद्र सरकार, राज्य सरकार, भारतीय रिज़र्व बैंक या सरकारी निकाय के अधिकारी",Factual,Medium,निदेशकों को राष्ट्रीय बैंक के कार्य से यात्रा करने पर क्या मिलता है?,यात्रा और विराम व्यय की प्रतिपूर्ति,Factual,Easy
Banking/Financial Regulations,बोर्ड की बैठक में उपस्थित होने के लिए रु. 20000/- और बोर्ड की समितियों की बैठकों में उपस्थित होने के लिए रु. 10000/- का शुल्क निर्धारित किया गया है।,बोर्ड की बैठक में उपस्थित होने के लिए निदेशकों को कितना शुल्क दिया जाता है?,रु. 20000/-,Factual,Easy,बोर्ड की समिति की बैठक में उपस्थित होने के लिए कितना शुल्क दिया जाता है?,रु. 10000/-,Factual,Easy,ये शुल्क दरें किसने और कब निर्धारित की थीं?,भारत सरकार द्वारा 20 जुलाई 2015 को अनुमोदित,Factual,Medium,वर्तमान में लागू शुल्क दरें पहले क्या थीं?,रु. 5000/- बोर्ड बैठक के लिए और रु. 2500/- समिति बैठक के लिए (संशोधन से पहले),Factual,Medium
Banking/Financial Regulations,"राष्ट्रीय बैंक की सामान्य मुहर किसी लिखत पर कम से कम दो ऐसे निदेशकों की उपस्थिति में लगायी जायेगी, जो अपनी उपस्थिति दर्शाने के लिए अपने नाम के हस्ताक्षर लिखत पर करेंगे। और इस प्रकार के हस्ताक्षर किसी ऐसे व्यक्ति द्वारा नहीं किये जायेंगे जो संबंधित लिखत पर गवाह के रूप में हस्ताक्षर करता हो।",राष्ट्रीय बैंक की सामान्य मुहर कैसे लगाई जाती है?,"राष्ट्रीय बैंक की सामान्य मुहर किसी लिखत पर कम से कम दो ऐसे निदेशकों की उपस्थिति में लगायी जायेगी, जो अपनी उपस्थिति दर्शाने के लिए अपने नाम के हस्ताक्षर लिखत पर करेंगे।",Factual,Medium,सामान्य मुहर पर हस्ताक्षर करने वाला व्यक्ति गवाह क्यों नहीं हो सकता?,क्योंकि यह विनियमों के अनुसार वैध नहीं होगा।,Factual,Medium,मुहर के वैध होने के लिए न्यूनतम कितने निदेशकों के हस्ताक्षर आवश्यक हैं?,कम से कम दो निदेशक,Factual,Easy,यदि उचित प्रकार से हस्ताक्षर नहीं किये गए तो लिखत की स्थिति क्या होगी?,संबंधित लिखत वैध नहीं होगा।,Analytical,Medium
Banking/Financial Regulations,"राष्ट्रीय बैंक को कोई नोटिस, प्रबंध निदेशक, किसी पूर्णकालिक निदेशक, अथवा इसके लिए प्रबंध निदेशक द्वारा प्राधिकृत किसी अधिकारी को देकर, अथवा राष्ट्रीय बैंक के प्रधान कार्यालय को रजिस्टर्ड डाक द्वारा भेजकर दिया जा सकता है।",राष्ट्रीय बैंक को नोटिस कैसे दिया जा सकता है?,"प्रबंध निदेशक, पूर्णकालिक निदेशक या प्राधिकृत अधिकारी को देकर, अथवा रजिस्टर्ड डाक द्वारा प्रधान कार्यालय को भेजकर।",Factual,Easy,नोटिस देने के कितने तरीके हैं?,दो तरीके - (1) सीधे अधिकारी को देकर (2) रजिस्टर्ड डाक से,Factual,Easy,प्रधान कार्यालय को नोटिस भेजने का तरीका क्या है?,रजिस्टर्ड डाक द्वारा,Factual,Easy,किसे नोटिस प्राप्त करने के लिए प्राधिकृत किया जा सकता है?,प्रबंध निदेशक द्वारा प्राधिकृत कोई अधिकारी,Factual,Easy
Banking/Financial Regulations,"इन विनियमों को राष्ट्रीय कृषि और ग्रामीण विकास बैंक सामान्य विनियमावली, 1982 कहा जाएगा।",इन विनियमों को क्या कहा जाएगा?,"राष्ट्रीय कृषि और ग्रामीण विकास बैंक सामान्य विनियमावली, 1982",Factual,Easy,इन विनियमों का पूरा नाम क्या है?,"राष्ट्रीय कृषि और ग्रामीण विकास बैंक सामान्य विनियमावली, 1982",Factual,Easy,ये विनियम किस अधिनियम के तहत बनाए गए हैं?,"राष्ट्रीय कृषि और ग्रामीण विकास बैंक अधिनियम, 1981 की धारा 60 की उप-धारा (3)",Factual,Medium,ये विनियम किसने निर्धारित किए?,भारतीय रिज़र्व बैंक द्वारा केंद्रीय सरकार के परामर्श से,Factual,Medium
